indicator,target_region,target_sector,reconstructed_total,model_total,min_contribution,max_contribution,negative_contribution_count,reference_total,share_sum,abs_difference,relative_difference,passes_model_total_check,difference_to_reference,relative_difference_to_reference,passes_reference_check,share_sum_difference_from_1,passes_share_sum_check
economic_importance,SE,Computer and related services (72),25365.89277972926,25365.892779729253,0.7777728503908093,20365.809769528194,0,25365.89277972932,1.0000000000000002,7.275957614183426e-12,2.868401943257401e-16,True,-6.184563972055912e-11,-2.438141651768784e-15,True,2.220446049250313e-16,True
economic_importance,SE,Construction work (45),57700.66586218671,57700.665862186695,1.3879320995949342,47601.78924987032,0,57700.66586218674,1.0000000000000002,1.4551915228366852e-11,2.5219666031450844e-16,True,-2.9103830456733704e-11,-5.043933206290165e-16,True,2.220446049250313e-16,True
economic_importance,SE,Education services (80),31241.356603786768,31241.356603786768,0.4765028679341912,29527.029365108538,0,31241.35660378682,1.0,0.0,0.0,True,-5.093170329928398e-11,-1.630265418535329e-15,True,0.0,True
economic_importance,SE,Health and social work services (85),60441.090481219995,60441.090481219995,0.6838696900453256,57209.10335876663,0,60441.090481220104,1.0,0.0,0.0,True,-1.0913936421275139e-10,-1.8057146776109626e-15,True,0.0,True
economic_importance,SE,Real estate services (70),45701.91128720568,45701.91128720568,1.949352420009515,36410.80917736003,0,45701.911287205665,1.0,0.0,0.0,True,1.4551915228366852e-11,3.1840933603231354e-16,True,0.0,True
ghg,SE,Construction work (45),10834418912.021866,10834418912.021866,898615.8743089489,3845064597.0116735,0,10834418912.021809,1.0,0.0,0.0,True,5.7220458984375e-05,5.281359291072224e-15,True,0.0,True
ghg,SE,Machinery and equipment n.e.c. (29),4178177664.55005,4178177664.55005,173196.71460701636,819894528.6506109,0,4178177664.550045,1.0,0.0,0.0,True,4.76837158203125e-06,1.1412562999627169e-15,True,0.0,True
ghg,SE,Real estate services (70),7812964859.283664,7812964859.283664,1398203.065433552,3704333229.6975174,0,7812964859.283652,0.9999999999999999,0.0,0.0,True,1.1444091796875e-05,1.4647565940702663e-15,True,-1.1102230246251565e-16,True
ghg,SE,Steam and hot water supply services,4360999489.06278,4360999489.062779,22464.841735868864,4110253746.9403768,0,4360999489.062791,1.0000000000000002,9.5367431640625e-07,2.186825104653254e-16,True,-1.049041748046875e-05,-2.4055076151185732e-15,True,2.220446049250313e-16,True
ghg,SE,Supporting and auxiliary transport services; travel agency services (63),4146252912.6305876,4146252912.6305876,999656.7534669007,781515950.7570015,0,4146252912.6305966,1.0,0.0,0.0,True,-9.059906005859375e-06,-2.185082819781802e-15,True,0.0,True
materials,SE,Construction work (45),60163.61300491397,60163.61300491396,1.0190528972338102,41327.95875289404,0,60163.61300491395,1.0000000000000002,7.275957614183426e-12,1.2093618136911343e-16,True,2.1827872842550278e-11,3.6280854410734037e-16,True,2.220446049250313e-16,True
materials,SE,Food products nec,8843.109649534428,8843.109649534428,0.2081703177484541,2068.3997806603843,0,8843.109649534428,0.9999999999999999,0.0,0.0,True,0.0,0.0,True,-1.1102230246251565e-16,True
materials,SE,"Products of forestry, logging and related services (02)",14848.124904359485,14848.124904359482,0.00467991446947124,12675.513641550502,0,14848.12490435952,1.0000000000000002,3.637978807091713e-12,2.450126753731432e-16,True,-3.456079866737127e-11,-2.3276204160448546e-15,True,2.220446049250313e-16,True
materials,SE,Products of meat cattle,6875.583369167807,6875.583369167808,0.031691155909389854,2403.9714662578,0,6875.583369167805,1.0,-9.094947017729282e-13,-1.3227891408478547e-16,True,1.8189894035458565e-12,2.6455782816957104e-16,True,0.0,True
materials,SE,Real estate services (70),21458.840384262778,21458.84038426278,0.8334460134484161,12774.5298862588,0,21458.840384262803,0.9999999999999998,-3.637978807091713e-12,-1.6953287046021782e-16,True,-2.546585164964199e-11,-1.1867300932215236e-15,True,-2.220446049250313e-16,True
