region,sector,CBA_kt
SE,Construction work (45),94230.44682245102
SE,Precious metal ores and concentrates,23100.553768468708
SE,Food products nec,6392.751673923296
SE,Health and social work services (85),5637.16411888946
SE,Education services (80),5567.568973402147
SE,Public administration and defence services; compulsory social security services (75),5180.781927901338
SE,Products of meat cattle,4943.490293212202
SE,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",3224.577206521732
SE,Dairy products,3074.8734853081132
SE,Computer and related services (72),3056.308535626912
SE,"Products of forestry, logging and related services (02)",2828.7836434528786
SE,"Lead, zinc and tin ores and concentrates",2582.076397851001
WA,Wearing apparel; furs (18),2261.021329137817
SE,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",2192.803889825599
WA,Hotel and restaurant services (55),1951.1110398959586
