sector,CBA_M.EUR
Construction work (45),78459.5452117681
Health and social work services (85),52752.34742208901
Education services (80),44026.65711705812
Computer and related services (72),37398.32385968248
Public administration and defence services; compulsory social security services (75),31643.410611074713
"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",22002.95976451091
Food products nec,19209.5468179433
Air transport services (62),18452.202807317848
Machinery and equipment n.e.c. (29),17742.30382464846
"Motor vehicles, trailers and semi-trailers (34)",17601.351220915796
