sector,CBA_kt CO2e
"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",45107.69860905208
Construction work (45),40231.64754962543
Education services (80),28963.185269592817
Dairy products,25410.11747964687
Health and social work services (85),23858.58380864536
Computer and related services (72),21555.33955288503
"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",19300.558973619274
Public administration and defence services; compulsory social security services (75),17748.877236691278
Food products nec,8829.891212130613
Renting services of machinery and equipment without operator and of personal and household goods (71),8510.418121425779
