sector,CBA_top_sectors_kt
Construction work (45),98092.27165675271
Precious metal ores and concentrates,23100.553768495818
Food products nec,12670.326252640712
Products of meat cattle,7352.273912011033
"Motor vehicles, trailers and semi-trailers (34)",6985.453600290542
Hotel and restaurant services (55),6954.924827763776
Health and social work services (85),6106.230717300592
Public administration and defence services; compulsory social security services (75),5803.251103834564
Education services (80),5799.5285445680565
Machinery and equipment n.e.c. (29),5591.61267161313
