sector,kt
Construction work (45),98092.27165659428
Precious metal ores and concentrates,23100.553768478618
Food products nec,12670.32625263327
Products of meat cattle,7352.273912002667
"Motor vehicles, trailers and semi-trailers (34)",6985.453600291119
Hotel and restaurant services (55),6954.924827760393
Health and social work services (85),6106.230717298472
Public administration and defence services; compulsory social security services (75),5803.251103838013
Education services (80),5799.528544561704
Machinery and equipment n.e.c. (29),5591.612671609452
Wearing apparel; furs (18),4635.216343364671
"Products of forestry, logging and related services (02)",4354.95820351287
"Fabricated metal products, except machinery and equipment (28)",4117.170014010192
Computer and related services (72),4061.370020562865
Dairy products,3868.039347630135
